id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,raw_data,created_at
111,111,3511,Gratificação eleitoral,01/01/2014,"",Valor correspondente ao exercício da atividade pelo juiz eleitoral,"","{""NOME"": ""Gratificação eleitoral"", ""DTFIM"": null, ""CODIGO"": 3511, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente ao exercício da atividade pelo juiz eleitoral"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
112,112,3520,Remuneração de cooperado,01/01/2014,"",Remuneração a cooperado vinculado a cooperativa de trabalho,"","{""NOME"": ""Remuneração de cooperado"", ""DTFIM"": null, ""CODIGO"": 3520, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração a cooperado vinculado a cooperativa de trabalho"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
113,113,3525,"Côngruas, prebendas e afins",01/05/2018,"",Valores pagos a ministros de confissão religiosa e que independem de natureza e da quantidade do trabalho executado,"","{""NOME"": ""Côngruas, prebendas e afins"", ""DTFIM"": null, ""CODIGO"": 3525, ""DTINICIO"": 1052018, ""DESCRICAO"": ""Valores pagos a ministros de confissão religiosa e que independem de natureza e da quantidade do trabalho executado"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
114,114,4010,Complementação salarial de auxílio-doença,01/01/2014,"",Complementação salarial de auxílio-doença ao trabalhador afastado por acidente de trabalho ou por doença,"","{""NOME"": ""Complementação salarial de auxílio-doença"", ""DTFIM"": null, ""CODIGO"": 4010, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Complementação salarial de auxílio-doença ao trabalhador afastado por acidente de trabalho ou por doença"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
115,115,4011,Complemento de salário-mínimo - RPPS,01/01/2014,"",Valor correspondente à diferença entre o salário-mínimo e o valor do vencimento do cargo efetivo pago a servidor público vinculado a Regime Próprio de Previdência Social - RPPS,"","{""NOME"": ""Complemento de salário-mínimo - RPPS"", ""DTFIM"": null, ""CODIGO"": 4011, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente à diferença entre o salário-mínimo e o valor do vencimento do cargo efetivo pago a servidor público vinculado a Regime Próprio de Previdência Social - RPPS"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
116,116,4050,Salário-maternidade,01/01/2014,"","Remuneração mensal da trabalhadora empregada durante a licença maternidade, quando paga pelo contratante ou órgão público",S,"{""NOME"": ""Salário-maternidade"", ""DTFIM"": null, ""CODIGO"": 4050, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração mensal da trabalhadora empregada durante a licença maternidade, quando paga pelo contratante ou órgão público"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
117,117,4051,Salário-maternidade - 13° salário,01/01/2014,"","Valor correspondente ao 13° salário pago pelo contratante ou órgão público, no período de licença maternidade",S,"{""NOME"": ""Salário-maternidade - 13° salário"", ""DTFIM"": null, ""CODIGO"": 4051, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente ao 13° salário pago pelo contratante ou órgão público, no período de licença maternidade"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
118,118,5001,13º salário,01/01/2014,"","Valor relativo ao 13° salário de trabalhador, inclusive as médias de 13° salário (horas extras, adicional noturno, etc.), exceto se relativo à primeira parcela ou se pago em rescisão contratual – nessa opção deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de 13° salário","","{""NOME"": ""13º salário"", ""DTFIM"": null, ""CODIGO"": 5001, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor relativo ao 13° salário de trabalhador, inclusive as médias de 13° salário (horas extras, adicional noturno, etc.), exceto se relativo à primeira parcela ou se pago em rescisão contratual – nessa opção deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de 13° salário"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
119,119,5005,13° salário complementar,01/01/2014,"",Valor do 13° salário complementar relativo a diferenças apuradas não consideradas na folha de fechamento do 13° salário,"","{""NOME"": ""13° salário complementar"", ""DTFIM"": null, ""CODIGO"": 5005, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor do 13° salário complementar relativo a diferenças apuradas não consideradas na folha de fechamento do 13° salário"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
120,120,5501,Adiantamento de salário,01/01/2014,"","Valor relativo a adiantamento, antecipação ou pagamento parcial de folha de salários","","{""NOME"": ""Adiantamento de salário"", ""DTFIM"": null, ""CODIGO"": 5501, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor relativo a adiantamento, antecipação ou pagamento parcial de folha de salários"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
