id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at
64,,64,190,REEMB. FALTAS DESC. MES ANTERIOR,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
65,,65,193,F.G.T.S. PAGO,9908 - FGTS - depósito,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 7º da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
66,,66,228,REEMB. DESC. ASSIST. MEDICA,6129 - Outras verbas não remuneratórias (indenizatórias ou multas),0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 6 da Lei nº 7.713/88 e Artigo 2° da Lei n° 8.036/90, e artigo 65 do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
67,,67,231,REEMB. DESPESAS,9989 - Outros valores informativos,0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - Artigo 12-A da Lei nº 7.713/88,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
68,,68,232,REEMB. EXAME DEMISSIONAL,9989 - Outros valores informativos,0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - Artigo 12-A da Lei nº 7.713/88,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
69,,69,233,REEMB. REFEICAO,1801 - Auxílio-alimentação,0,0,0,Rubrica com inconsistência de IRRF,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
70,,70,233,REEMB. REFEICAO,1801 - Auxílio-alimentação,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
71,,71,234,REEMB. EXAMES MÉDICOS,6129 - Outras verbas não remuneratórias (indenizatórias ou multas),0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 6 da Lei nº 7.713/88 e Artigo 2° da Lei n° 8.036/90, e artigo 65 do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
72,,72,236,REEMB. VALE REFEICAO DIF.DISSIDIO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
73,,73,240,REEMB. SALARIO FAMILIA,1409 - Salário-família,51,0,0,Rubrica com inconsistência de IRRF,"51 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 5º, inciso VII da IN 1500/2014",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
74,,74,241,SALÁRIO FAMILIA MES ANTERIOR,1409 - Salário-família,51,0,0,Rubrica com inconsistência de IRRF,"51 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 5º, inciso VII da IN 1500/2014",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
75,,75,243,REEMB. CONTRIB. SINDICAL,6129 - Outras verbas não remuneratórias (indenizatórias ou multas),0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 6 da Lei nº 7.713/88 e Artigo 2° da Lei n° 8.036/90, e artigo 65 do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
76,,76,249,REEMB. DESC. ASS. ODONTOLOGICA,6129 - Outras verbas não remuneratórias (indenizatórias ou multas),0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 6 da Lei nº 7.713/88 e Artigo 2° da Lei n° 8.036/90, e artigo 65 do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
77,,77,252,AJUDA CRECHE CCT,1406 - Auxílio-creche,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Ato Declaratório PGFN nº 13/2011, Parecer PGFN/CRJ nº 2.118/2011, e Solução de Consulta COSIT nº 290/2014",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
78,,78,253,DEV. ATRASO/FALTA HORAS,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
79,,79,254,REEMB. MENSALIDADE. SINDICAL,9231 - Contribuição Sindical - Associativa,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 4º da Lei nº 9.250/95,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
