codigo,nome,dt_inicio,dt_fim,descricao,versao
3510,Gratificação (jeton),2014-01-01,,Valor correspondente a gratificação (jeton) por comparecimento a sessões ou reuniões,17
3511,Gratificação eleitoral,2014-01-01,,Valor correspondente ao exercício da atividade pelo juiz eleitoral,17
3520,Remuneração de cooperado,2014-01-01,,Remuneração a cooperado vinculado a cooperativa de trabalho,17
3525,"Côngruas, prebendas e afins",2018-05-01,,Valores pagos a ministros de confissão religiosa e que independem de natureza e da quantidade do trabalho executado,17
4010,Complementação salarial de auxílio-doença,2014-01-01,,Complementação salarial de auxílio-doença ao trabalhador afastado por acidente de trabalho ou por doença,17
4011,Complemento de salário-mínimo - RPPS,2014-01-01,,Valor correspondente à diferença entre o salário-mínimo e o valor do vencimento do cargo efetivo pago a servidor público vinculado a Regime Próprio de Previdência Social - RPPS,17
4050,Salário-maternidade,2014-01-01,,"Remuneração mensal da trabalhadora empregada durante a licença maternidade, quando paga pelo contratante ou órgão público",17
4051,Salário-maternidade - 13° salário,2014-01-01,,"Valor correspondente ao 13° salário pago pelo contratante ou órgão público, no período de licença maternidade",17
5001,13º salário,2014-01-01,,"Valor relativo ao 13° salário de trabalhador, inclusive as médias de 13° salário (horas extras, adicional noturno, etc.), exceto se relativo à primeira parcela ou se pago em rescisão contratual  nessa opção deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de 13° salário",17
5005,13° salário complementar,2014-01-01,,Valor do 13° salário complementar relativo a diferenças apuradas não consideradas na folha de fechamento do 13° salário,17
5501,Adiantamento de salário,2014-01-01,,"Valor relativo a adiantamento, antecipação ou pagamento parcial de folha de salários",17
5504,13º salário - Adiantamento,2014-01-01,,Valor relativo a adiantamento do 13° salário,17
5510,Adiantamento de benefícios previdenciários,2014-01-01,,Valor relativo a adiantamento de benefícios a serem pagos pela Previdência Social Oficial,17
6000,Saldo de salários na rescisão contratual,2014-01-01,,Valor correspondente aos dias trabalhados no mês da rescisão contratual,17
6001,13º salário relativo ao aviso prévio indenizado,2014-01-01,,Valor correspondente ao 13° salário incidente sobre o aviso prévio indenizado,17
6002,13° salário proporcional na rescisão,2014-01-01,,"Valor correspondente ao 13° salário proporcional pago na rescisão do contrato de trabalho, exceto o pago sobre o aviso prévio indenizado",17
6003,Indenização compensatória do aviso prévio,2014-01-01,,"Valor da maior remuneração do trabalhador, correspondente ao número de dias relativo ao aviso prévio, calculado de acordo com o tempo de serviço do empregado",17
6004,Férias - Dobro na rescisão,2014-01-01,,"Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias não concedidas no prazo legal, inclusive o adicional constitucional",17
6006,Férias proporcionais,2014-01-01,,"Valor correspondente a 1/12 avos da remuneração a que faz jus a época da rescisão contratual, fração superior a 14 dias por mês de trabalho e a projeção do aviso prévio indenizado, inclusive o adicional constitucional",17
6007,Férias vencidas na rescisão,2014-01-01,,"Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias vencidas, mas dentro do prazo concessivo, inclusive o adicional constitucional",17
6101,Indenização compensatória - Multa rescisória 20 ou 40% (CF/88),2014-01-01,,"Valor correspondente à indenização por demissão sem justa causa, por culpa recíproca ou força maior (ambas reconhecidas pela Justiça do Trabalho) ou por acordo entre empregado e empregador, quando da rescisão do contrato de trabalho; ou correspondente à antecipação da multa rescisória do FGTS paga ao empregado com contrato Verde e Amarelo",17
6102,Indenização do art. 9º da Lei 7.238/1984,2014-01-01,,Valor correspondente a indenização quando a dispensa ocorrer sem justa causa dentro dos trinta dias que antecedem a data base,17
6103,Indenização do art. 14 da Lei 5.889/1973,2014-01-01,,"Valor correspondente a indenização do tempo de serviço ao safrista, importância correspondente a 1/12 (um doze avos) do salário mensal, por mês de serviço ou fração superior a 14 (quatorze) dias",17
6104,Indenização do art. 479 da CLT,2014-01-01,,Valor correspondente a metade da remuneração devida ate o termino do contrato a prazo determinado em caso de rescisão antecipada,17
6105,Indenização recebida a título de incentivo a demissão,2014-01-01,,Valor correspondente a incentivo a demissão em Programas de Demissão Voluntária - PDV,17
6106,Multa do art. 477 da CLT,2014-01-01,,"Valor devido ao trabalhador por atraso no pagamento de rescisão do contrato de trabalho (art. 477 da CLT, § 8º)",17
6107,Indenização por quebra de estabilidade,2014-01-01,,"Valor correspondente a indenização por desligamento durante período de estabilidade legal, ou estabilidade derivada de acordo ou convenção coletiva de trabalho",17
6108,Tempo de espera do motorista profissional,2014-01-01,,Valor correspondente ao tempo de espera do motorista profissional,17
6119,Indenização rescisória - Programa Emergencial de Manutenção do Emprego e da Renda,2020-04-01,,Indenização pela dispensa sem justa causa que ocorrer durante o período de garantia provisória no emprego de que trata o Programa Emergencial de Manutenção do Emprego e da Renda,17
6129,Outras multas ou indenizações,2014-01-01,,"Valor correspondente a outras multas ou indenizações previstas em leis ou em Instrumentos Coletivos de Trabalho, exceto as previstas nos demais itens",17
6901,Desconto do aviso prévio,2014-01-01,,"Valor descontado do trabalhador que tenha pedido demissão e não cumpriu aviso prévio, total ou parcialmente",17
6904,Multa prevista no art. 480 da CLT,2014-01-01,,"Valor descontado do empregado pela rescisão antecipada, por iniciativa do empregado, do contrato de trabalho a termo",17
7001,Proventos,2014-01-01,,Valor dos proventos de Aposentadoria a servidor público,17
7002,Proventos - Pensão por morte Civil,2014-01-01,,Valor dos proventos por morte a beneficiário de servidor público,17
7003,Proventos - Reserva,2014-01-01,,Valor dos proventos a militar da reserva remunerada,17
7004,Proventos - Reforma,2014-01-01,,Valor dos proventos a militar reformado,17
7005,Pensão Militar,2014-01-01,,Valor da pensão a beneficiário de militar,17
7006,Auxílio-reclusão,2014-01-01,,Valor de auxílio-reclusão para o servidor público de baixa renda,17
7007,Pensões especiais,2014-01-01,,Valor das pensões de caráter especial diferentes de pensão por morte,17
7008,Complementação de aposentadoria/ pensão,2014-01-01,,Valor relativo à complementação de aposentadoria/pensão vinculada ao Regime Geral de Previdência Social - RGPS,17
9200,Desconto de adiantamentos,2014-01-01,,"Valor relativo a descontos a título de adiantamentos em geral, como de salários e outros, exceto a 1ª parcela do 13° salário",17
9201,Contribuição previdenciária,2014-01-01,,Desconto a título de contribuição previdenciária,17
9202,Contribuição militar,2014-01-01,,Desconto relativo à seguridade do militar e seus dependentes,17
